	symbol	returns
0	AMD	[-0.008415139104699126, -0.0739394101229581, -0.07204610891606464, -0.36335405773239204, -0.06415096987774796, -0.004938266662867668, -0.17078646845384526, -0.17078646845384526, -0.17632242887634525, -0.022058802260453536, -0.03980101656463498, -0.05513785165022405, -0.05513785165022405, -0.05513785165022405, 0.0715789794921875, 0.08103727614543703, 0.05740183096828341, 0.002998497855734099, 0.1054158739364318, 0.05992503477160751, 0.031307565684759696, -0.14385357748836447, 0.09471775581836898, -0.04417672282416903, 0.13735699226392467, 0.23634951316487168, 0.46065062605768536, -0.23834194921754615, -0.019798842451562815, 0.17687897438649064, 0.16150897415112586, 0.017765956916434684, 0.023743328563669786, -0.08437947028700984, -0.08437947028700984, 0.10205009992073424]
1	PDD	[-0.1315214338596647, 0.22330869068872833]
2	GE	[0.016116394283584943, 0.02521355820962658, 0.06745609046605992, -0.011338625712455676, -0.052923758384413475, -0.18413979987783535, -0.013966506139373832, -0.06017186643435123, -0.09415587839659535, -0.09415587839659535, -0.3174136419517819, -0.2633663141740299, 0.18055548189599033, 0.06041223559055903, 0.04370629530943106, 0.07136781361461188, -0.13982716394179007, -0.21434138864793065, -0.32024978950680916]
3	FSCT	[-0.03236361416903409]
4	WU	[0.008370514391275327, 0.05348458989068141, -0.021276559535722273, 0.023288632457958577, 0.014889814554375679, -0.017260550208512724, 0.005961989076113442, -0.01760938781945164, -0.003560799085106573, -0.04405037059086563, -0.011255843374127017, -0.02006078470522131, 0.005565872118939288, 0.009313751843653508, 0.009313751843653508, 0.03247061336741728, 0.07509254826822627, -0.08152172120499579, 0.012572015149283751, -0.07129277256318999, 0.005445480141007824, 0.07462044588433871, 0.11820720772607611]
5	ERI	[0.19822487911754538, -0.0022826360576041036]
6	VIPS	[-0.0609318530175523, 0.1940010358097081, -0.04494309892406632, 0.11672742351216377, 0.12497654887066222, -0.14369601857619163, -0.1372408940461682, 0.1323132594468912, -0.15743620292575655, -0.12038405605858236, 0.20815986281065682, 0.021820352502740923, -0.06712475965340693, -0.018361598282739654, -0.11149821133445847, -0.08903696224408632, -0.08903696224408632]
7	AXP	[-0.01755156642197131, 0.10618728213121464, 0.06248590107868623, -0.08845258013904439, 0.14095221197775037, 0.07927622739391205, -0.0727574692445852, -0.03771771038616742, 0.02748875313542641, -0.005634339707593959, 0.07337528624510853, 0.010531758159215964, 0.02477746614105332, 0.0320911412539771, -0.04123198998059204, -0.03996015201423419, 0.045934596026366285, 0.04591836734693878, 0.02496255578542349, -0.05677653041676198, 0.05913234226268226, 0.03564036055144696, -0.038796693443067735, -0.16424409908620324, -0.16424409908620324, -0.2511954645582453]
8	ZNGA	[-0.20187795476718484, -0.20187795476718484, -0.3213872665399658, -0.1048253062309999, -0.004184096244488566, 0.32846718694705274, 0.15231789438814766, 0.26681615404534315, -0.13022117627872315, 0.04115222299809098, -0.09818181124600497, -0.06756758280615442, 0.11874995948746861, 0.05000001986821545, 0.00558658697003811, 0.1484018443799517, 0.03980095568285095, -0.06858051509516627]
9	NKE	[-0.009598018512817991, 0.005317215083595305, 0.02539384522109186, 0.047122486723333246, 0.0050740915506441355, -0.0037266618970224403, 0.00972070107912884, 0.01997305570510816, 0.0005946829116534408, 0.02262264366077131, 0.10763454327090284, 0.0662927449692541, 0.04363138890768769, -0.08520385505193498, 0.005141430448873024, -0.04153463964601137, -0.0048039294042758664, 0.028769448405917348, 0.037665365706418784, 0.015940588388039287, 0.0037372537600177773, -0.02904506808978624, -0.005291025581380563, 0.09340879163024773, 0.09340879163024773, 0.0818645328666642, 0.08350865857005041, 0.05733742728690983, -0.05343591738607029, 0.057626021404198854, -0.09962727635832164, 0.27946637444594985, 0.03501997645056571]
10	ENPH	[0.5576592564311258, -0.13500478630475846, -0.1886227222191488, 0.5301204897146439, 0.17406748436702482, 0.17406748436702482, 0.4919231121356671]
