	symbol	returns
0	SAVE	[0.16127132478106185, 0.3789063006891725, 0.13116852436860957, 0.1790393536847534, -0.11713159507493454, -0.09608321176028667, -0.3077525578933313, -0.14634648787909726, 0.12750889540595137, 0.13133021828997116, 0.15357144673665366, -0.12856252016663092, -0.10421892483123553, 0.0430372953409743, -0.09292141409114858, -0.1414562473218095, -0.11858408229820991, 0.01949985022128132, -0.08585605831205038, -0.08585605831205038, 0.0543112698883272, 0.075585633413395, 0.008329336140024991, -0.05666506022957876, -0.10181332340280892, -0.11401686837134749, -0.10231769995102064, 0.11644356131810268, -0.7891429969771953, 0.049535657037836266]
1	BBBY	[-0.12942001036019485, 0.1273462626058617, -0.05193577572414108, 0.08425152169168465, 0.0977987510279523, 0.10990771704359574, 0.02438341693228861, 0.021861476401210875, 0.05299151115723394, -0.02293760014636346, -0.015636934680860613, -0.10754307085996252, 0.11286330716640605, -0.18171739157541508, -0.33420364208975695, -0.22281326482058916, -0.21316248288579515, -0.2649319682236392, -0.33024524760970764, 0.4869976202105907, 0.3881578929678084, 0.4656740355426289, 0.3928274463496544]
2	KDMN	[-0.1642857307074024]
3	CLVS	[-0.010247858650487829, 0.048319872420506324, 0.06515035680435359, -0.0016816528244903563, 0.2512987103598671, -0.090719970703125, 0.7023762617961015, -0.16750107022489785, -0.16880921480814887, -0.24766201680900324, -0.23803657183278285]
4	INSG	[0.027173886635466226]
5	IVR	[0.016185011502525527, 0.07009578391307722, -0.009863831977016495, -0.21772271294221024, 0.010240968216103975, 0.018587432202853034, -0.05253164010673668, 0.036258158185869395, 0.02501789758369327, 0.024433839727933438]
6	ATRA	[1.3333333333333333, -0.44233156373331595, 0.7301401511239486]
7	AR	[-0.09659791268209665, -0.07542261786455659, 0.04507776547279815, -0.061068712875254894, 0.09942859468005952, 0.06557377864664946, 0.06557377864664946, -0.018263129799162517, 0.027544041220913296, -0.07092204034893017, 0.018124547164381968, -0.043036926596037715, -0.11630651878532249, -0.09667804523080788, -0.46881720904243207]
8	NAT	[0.04761898831712164, 0.07779040462733924, 0.07927519218706774, -0.11666669871012272, -0.06666660433501083, 0.14016171848511277, 0.25999999046325684]
9	RWT	[0.07087300519682453, 0.09201521469566475, 0.021967481983799195, -0.09121059174199235, 0.05486466684814617, 0.01658925050183394, 0.04116533082805083, 0.20047179890426414]
